Circuit,Date,Excel Time,Value,Notes,Timezone,Year,Month,Day,Hour,Minute,Buffer,D1Limit,D2Limit,D3Limit,DemandLimit
A,2024-04-01 03:49:42-04:00,45383.15951,4209,,EDT,2024,4,1,3,49,150,5519,5819,6119,D0
B,2024-04-01 04:04:18-04:00,45383.16965,3454,,EDT,2024,4,1,4,4,75,4333,4483,4633,D0
A,2024-04-01 04:04:43-04:00,45383.16994,4187,,EDT,2024,4,1,4,4,150,5519,5819,6119,D0
B,2024-04-01 04:19:19-04:00,45383.18008,3422,,EDT,2024,4,1,4,19,75,4333,4483,4633,D0
A,2024-04-01 04:19:44-04:00,45383.18037,4180,,EDT,2024,4,1,4,19,150,5519,5819,6119,D0
B,2024-04-01 04:34:20-04:00,45383.19051,3464,,EDT,2024,4,1,4,34,75,4333,4483,4633,D0
A,2024-04-01 04:34:45-04:00,45383.1908,4199,,EDT,2024,4,1,4,34,150,5519,5819,6119,D0
B,2024-04-01 04:49:21-04:00,45383.20094,3490,,EDT,2024,4,1,4,49,75,4333,4483,4633,D0
A,2024-04-01 04:49:46-04:00,45383.20123,4148,,EDT,2024,4,1,4,49,150,5519,5819,6119,D0
B,2024-04-01 05:04:22-04:00,45383.21137,3480,,EDT,2024,4,1,5,4,75,4333,4483,4633,D0
B,2024-04-01 05:04:22-04:00,45383.21137,3480,,EDT,2024,4,1,5,4,75,4333,4483,4633,D0
A,2024-04-01 05:04:47-04:00,45383.21166,4223,,EDT,2024,4,1,5,4,150,5519,5819,6119,D0
A,2024-04-01 05:04:47-04:00,45383.21166,4223,,EDT,2024,4,1,5,4,150,5519,5819,6119,D0
B,2024-04-01 05:19:23-04:00,45383.22179,3488,,EDT,2024,4,1,5,19,75,4333,4483,4633,D0
A,2024-04-01 05:19:48-04:00,45383.22208,4308,,EDT,2024,4,1,5,19,150,5519,5819,6119,D0
B,2024-04-01 05:34:24-04:00,45383.23222,3517,,EDT,2024,4,1,5,34,75,4333,4483,4633,D0
A,2024-04-01 05:34:49-04:00,45383.23251,4487,,EDT,2024,4,1,5,34,150,5519,5819,6119,D0
B,2024-04-01 05:49:25-04:00,45383.24265,3528,,EDT,2024,4,1,5,49,75,4333,4483,4633,D0
A,2024-04-01 05:49:50-04:00,45383.24294,4419,,EDT,2024,4,1,5,49,150,5519,5819,6119,D0
B,2024-04-01 06:04:26-04:00,45383.25308,3484,,EDT,2024,4,1,6,4,75,4333,4483,4633,D0
B,2024-04-01 06:04:26-04:00,45383.25308,3484,,EDT,2024,4,1,6,4,75,4333,4483,4633,D0
A,2024-04-01 06:04:51-04:00,45383.25337,4482,,EDT,2024,4,1,6,4,150,5519,5819,6119,D0
B,2024-04-01 06:19:27-04:00,45383.26351,3642,,EDT,2024,4,1,6,19,75,4333,4483,4633,D0
A,2024-04-01 06:19:52-04:00,45383.2638,4606,,EDT,2024,4,1,6,19,150,5519,5819,6119,D0
B,2024-04-01 06:34:28-04:00,45383.27394,3567,,EDT,2024,4,1,6,34,75,4333,4483,4633,D0
A,2024-04-01 06:34:53-04:00,45383.27422,4640,,EDT,2024,4,1,6,34,150,5519,5819,6119,D0
B,2024-04-01 06:49:29-04:00,45383.28436,3609,,EDT,2024,4,1,6,49,75,4333,4483,4633,D0
A,2024-04-01 06:49:54-04:00,45383.28465,4643,,EDT,2024,4,1,6,49,150,5519,5819,6119,D0
B,2024-04-01 07:04:30-04:00,45383.29479,3484,,EDT,2024,4,1,7,4,75,4333,4483,4633,D0
A,2024-04-01 07:04:55-04:00,45383.29508,4558,,EDT,2024,4,1,7,4,150,5519,5819,6119,D0
B,2024-04-01 07:19:31-04:00,45383.30522,3558,,EDT,2024,4,1,7,19,75,4333,4483,4633,D0
A,2024-04-01 07:19:56-04:00,45383.30551,4591,,EDT,2024,4,1,7,19,150,5519,5819,6119,D0
B,2024-04-01 07:34:32-04:00,45383.31565,3575,,EDT,2024,4,1,7,34,75,4333,4483,4633,D0
A,2024-04-01 07:34:57-04:00,45383.31594,4536,,EDT,2024,4,1,7,34,150,5519,5819,6119,D0
B,2024-04-01 07:49:33-04:00,45383.32608,3581,,EDT,2024,4,1,7,49,75,4333,4483,4633,D0
A,2024-04-01 07:49:58-04:00,45383.32637,4653,,EDT,2024,4,1,7,49,150,5519,5819,6119,D0
B,2024-04-01 08:04:34-04:00,45383.3365,3624,,EDT,2024,4,1,8,4,75,4333,4483,4633,D0
A,2024-04-01 08:04:59-04:00,45383.33679,4650,,EDT,2024,4,1,8,4,150,5519,5819,6119,D0
B,2024-04-01 08:19:35-04:00,45383.34693,3625,,EDT,2024,4,1,8,19,75,4333,4483,4633,D0
A,2024-04-01 08:20:00-04:00,45383.34722,4649,,EDT,2024,4,1,8,20,150,5519,5819,6119,D0
B,2024-04-01 08:34:36-04:00,45383.35736,3752,,EDT,2024,4,1,8,34,75,4333,4483,4633,D0
A,2024-04-01 08:35:01-04:00,45383.35765,4759,,EDT,2024,4,1,8,35,150,5519,5819,6119,D0
B,2024-04-01 08:49:37-04:00,45383.36779,3740,,EDT,2024,4,1,8,49,75,4333,4483,4633,D0
A,2024-04-01 08:50:02-04:00,45383.36808,4868,,EDT,2024,4,1,8,50,150,5519,5819,6119,D0
B,2024-04-01 09:04:38-04:00,45383.37822,3839,,EDT,2024,4,1,9,4,75,4333,4483,4633,D0
A,2024-04-01 09:05:03-04:00,45383.37851,4972,,EDT,2024,4,1,9,5,150,5519,5819,6119,D0
B,2024-04-01 09:19:39-04:00,45383.38865,3812,,EDT,2024,4,1,9,19,75,4333,4483,4633,D0
B,2024-04-01 09:19:39-04:00,45383.38865,3812,,EDT,2024,4,1,9,19,75,4333,4483,4633,D0
A,2024-04-01 09:20:04-04:00,45383.38894,4890,,EDT,2024,4,1,9,20,150,5519,5819,6119,D0
B,2024-04-01 09:34:40-04:00,45383.39907,3906,,EDT,2024,4,1,9,34,75,4333,4483,4633,D0
A,2024-04-01 09:35:05-04:00,45383.39936,4901,,EDT,2024,4,1,9,35,150,5519,5819,6119,D0
B,2024-04-01 09:49:41-04:00,45383.4095,3651,,EDT,2024,4,1,9,49,75,4333,4483,4633,D0
A,2024-04-01 09:50:06-04:00,45383.40979,4909,,EDT,2024,4,1,9,50,150,5519,5819,6119,D0
B,2024-04-01 10:04:42-04:00,45383.41993,3672,,EDT,2024,4,1,10,4,75,4333,4483,4633,D0
A,2024-04-01 10:05:07-04:00,45383.42022,4747,,EDT,2024,4,1,10,5,150,5519,5819,6119,D0
B,2024-04-01 10:19:43-04:00,45383.43036,3198,,EDT,2024,4,1,10,19,75,4333,4483,4633,D0
A,2024-04-01 10:20:08-04:00,45383.43065,4588,,EDT,2024,4,1,10,20,150,5519,5819,6119,D0
B,2024-04-01 10:34:44-04:00,45383.44079,2628,,EDT,2024,4,1,10,34,75,4333,4483,4633,D0
A,2024-04-01 10:35:09-04:00,45383.44108,3959,,EDT,2024,4,1,10,35,150,5519,5819,6119,D0
B,2024-04-01 10:49:45-04:00,45383.45122,2591,,EDT,2024,4,1,10,49,75,4333,4483,4633,D0
A,2024-04-01 10:50:10-04:00,45383.4515,3776,,EDT,2024,4,1,10,50,150,5519,5819,6119,D0
B,2024-04-01 11:04:46-04:00,45383.46164,2765,,EDT,2024,4,1,11,4,75,4333,4483,4633,D0
A,2024-04-01 11:05:11-04:00,45383.46193,3792,,EDT,2024,4,1,11,5,150,5519,5819,6119,D0
B,2024-04-01 11:19:47-04:00,45383.47207,2866,,EDT,2024,4,1,11,19,75,4333,4483,4633,D0
A,2024-04-01 11:20:12-04:00,45383.47236,4137,,EDT,2024,4,1,11,20,150,5519,5819,6119,D0
B,2024-04-01 11:34:48-04:00,45383.4825,3026,,EDT,2024,4,1,11,34,75,4333,4483,4633,D0
A,2024-04-01 11:35:13-04:00,45383.48279,4296,,EDT,2024,4,1,11,35,150,5519,5819,6119,D0
B,2024-04-01 11:49:49-04:00,45383.49293,3002,,EDT,2024,4,1,11,49,75,4333,4483,4633,D0
A,2024-04-01 11:50:14-04:00,45383.49322,4190,,EDT,2024,4,1,11,50,150,5519,5819,6119,D0
B,2024-04-01 12:04:51-04:00,45383.50337,2687,,EDT,2024,4,1,12,4,75,4333,4483,4633,D0
A,2024-04-01 12:05:16-04:00,45383.50366,4067,,EDT,2024,4,1,12,5,150,5519,5819,6119,D0
B,2024-04-01 12:19:52-04:00,45383.5138,2735,,EDT,2024,4,1,12,19,75,4333,4483,4633,D0
A,2024-04-01 12:20:17-04:00,45383.51409,3816,,EDT,2024,4,1,12,20,150,5519,5819,6119,D0
B,2024-04-01 12:34:53-04:00,45383.52422,2642,,EDT,2024,4,1,12,34,75,4333,4483,4633,D0
A,2024-04-01 12:35:18-04:00,45383.52451,3741,,EDT,2024,4,1,12,35,150,5519,5819,6119,D0
B,2024-04-01 12:49:54-04:00,45383.53465,2580,,EDT,2024,4,1,12,49,75,4333,4483,4633,D0
A,2024-04-01 12:50:19-04:00,45383.53494,3857,,EDT,2024,4,1,12,50,150,5519,5819,6119,D0
B,2024-04-01 13:04:55-04:00,45383.54508,3051,,EDT,2024,4,1,13,4,75,4333,4483,4633,D0
A,2024-04-01 13:05:20-04:00,45383.54537,3867,,EDT,2024,4,1,13,5,150,5519,5819,6119,D0
B,2024-04-01 13:19:56-04:00,45383.55551,2606,,EDT,2024,4,1,13,19,75,4333,4483,4633,D0
A,2024-04-01 13:20:21-04:00,45383.5558,3785,,EDT,2024,4,1,13,20,150,5519,5819,6119,D0
B,2024-04-01 13:34:57-04:00,45383.56594,2570,,EDT,2024,4,1,13,34,75,4333,4483,4633,D0
A,2024-04-01 13:35:22-04:00,45383.56623,3761,,EDT,2024,4,1,13,35,150,5519,5819,6119,D0
B,2024-04-01 13:49:58-04:00,45383.57637,2628,,EDT,2024,4,1,13,49,75,4333,4483,4633,D0
A,2024-04-01 13:50:23-04:00,45383.57666,3775,,EDT,2024,4,1,13,50,150,5519,5819,6119,D0
B,2024-04-01 14:04:59-04:00,45383.58679,2688,,EDT,2024,4,1,14,4,75,4333,4483,4633,D0
A,2024-04-01 14:05:24-04:00,45383.58708,3831,,EDT,2024,4,1,14,5,150,5519,5819,6119,D0
B,2024-04-01 14:20:00-04:00,45383.59722,2721,,EDT,2024,4,1,14,20,75,4333,4483,4633,D0
A,2024-04-01 14:20:25-04:00,45383.59751,3743,,EDT,2024,4,1,14,20,150,5519,5819,6119,D0
B,2024-04-01 14:35:01-04:00,45383.60765,2638,,EDT,2024,4,1,14,35,75,4333,4483,4633,D0
A,2024-04-01 14:35:26-04:00,45383.60794,3706,,EDT,2024,4,1,14,35,150,5519,5819,6119,D0
B,2024-04-01 14:50:02-04:00,45383.61808,2672,,EDT,2024,4,1,14,50,75,4333,4483,4633,D0
A,2024-04-01 14:50:27-04:00,45383.61837,3732,,EDT,2024,4,1,14,50,150,5519,5819,6119,D0
B,2024-04-01 15:05:03-04:00,45383.62851,2747,,EDT,2024,4,1,15,5,75,4333,4483,4633,D0
A,2024-04-01 15:05:28-04:00,45383.6288,3880,,EDT,2024,4,1,15,5,150,5519,5819,6119,D0
B,2024-04-01 15:20:04-04:00,45383.63894,2616,,EDT,2024,4,1,15,20,75,4333,4483,4633,D0
A,2024-04-01 15:20:29-04:00,45383.63922,3865,,EDT,2024,4,1,15,20,150,5519,5819,6119,D0
B,2024-04-01 15:35:05-04:00,45383.64936,2556,,EDT,2024,4,1,15,35,75,4333,4483,4633,D0
A,2024-04-01 15:35:30-04:00,45383.64965,3828,,EDT,2024,4,1,15,35,150,5519,5819,6119,D0
B,2024-04-01 15:50:06-04:00,45383.65979,2696,,EDT,2024,4,1,15,50,75,4333,4483,4633,D0
A,2024-04-01 15:50:31-04:00,45383.66008,4039,,EDT,2024,4,1,15,50,150,5519,5819,6119,D0
B,2024-04-01 16:05:07-04:00,45383.67022,2919,,EDT,2024,4,1,16,5,75,4333,4483,4633,D0
A,2024-04-01 16:05:32-04:00,45383.67051,3979,,EDT,2024,4,1,16,5,150,5519,5819,6119,D0
B,2024-04-01 16:20:08-04:00,45383.68065,2744,,EDT,2024,4,1,16,20,75,4333,4483,4633,D0
A,2024-04-01 16:20:33-04:00,45383.68094,3923,,EDT,2024,4,1,16,20,150,5519,5819,6119,D0
B,2024-04-01 16:35:09-04:00,45383.69108,2807,,EDT,2024,4,1,16,35,75,4333,4483,4633,D0
A,2024-04-01 16:35:34-04:00,45383.69137,4136,,EDT,2024,4,1,16,35,150,5519,5819,6119,D0
B,2024-04-01 16:50:10-04:00,45383.7015,2968,,EDT,2024,4,1,16,50,75,4333,4483,4633,D0
A,2024-04-01 16:50:35-04:00,45383.70179,4138,,EDT,2024,4,1,16,50,150,5519,5819,6119,D0
B,2024-04-01 17:05:11-04:00,45383.71193,3198,,EDT,2024,4,1,17,5,75,4333,4483,4633,D0
A,2024-04-01 17:05:36-04:00,45383.71222,4385,,EDT,2024,4,1,17,5,150,5519,5819,6119,D0
B,2024-04-01 17:20:12-04:00,45383.72236,3207,,EDT,2024,4,1,17,20,75,4333,4483,4633,D0
A,2024-04-01 17:20:37-04:00,45383.72265,4577,,EDT,2024,4,1,17,20,150,5519,5819,6119,D0
B,2024-04-01 17:35:13-04:00,45383.73279,3454,,EDT,2024,4,1,17,35,75,4333,4483,4633,D0
A,2024-04-01 17:35:38-04:00,45383.73308,4600,,EDT,2024,4,1,17,35,150,5519,5819,6119,D0
B,2024-04-01 17:50:14-04:00,45383.74322,3682,,EDT,2024,4,1,17,50,75,4333,4483,4633,D0
A,2024-04-01 17:50:39-04:00,45383.74351,4669,,EDT,2024,4,1,17,50,150,5519,5819,6119,D0
B,2024-04-01 18:05:15-04:00,45383.75365,3589,,EDT,2024,4,1,18,5,75,4333,4483,4633,D0
A,2024-04-01 18:05:40-04:00,45383.75394,4713,,EDT,2024,4,1,18,5,150,5519,5819,6119,D0
B,2024-04-01 18:20:16-04:00,45383.76407,3603,,EDT,2024,4,1,18,20,75,4333,4483,4633,D0
A,2024-04-01 18:20:41-04:00,45383.76436,4787,,EDT,2024,4,1,18,20,150,5519,5819,6119,D0
B,2024-04-01 18:35:17-04:00,45383.7745,3793,,EDT,2024,4,1,18,35,75,4333,4483,4633,D0
A,2024-04-01 18:35:42-04:00,45383.77479,4991,,EDT,2024,4,1,18,35,150,5519,5819,6119,D0
B,2024-04-01 18:50:18-04:00,45383.78493,3803,,EDT,2024,4,1,18,50,75,4333,4483,4633,D0
A,2024-04-01 18:50:43-04:00,45383.78522,4971,,EDT,2024,4,1,18,50,150,5519,5819,6119,D0
B,2024-04-01 19:05:19-04:00,45383.79536,3850,,EDT,2024,4,1,19,5,75,4333,4483,4633,D0
A,2024-04-01 19:05:44-04:00,45383.79565,4880,,EDT,2024,4,1,19,5,150,5519,5819,6119,D0
B,2024-04-01 19:20:20-04:00,45383.80579,3987,,EDT,2024,4,1,19,20,75,4333,4483,4633,D0
A,2024-04-01 19:20:45-04:00,45383.80608,4941,,EDT,2024,4,1,19,20,150,5519,5819,6119,D0
B,2024-04-01 19:35:21-04:00,45383.81622,3982,,EDT,2024,4,1,19,35,75,4333,4483,4633,D0
A,2024-04-01 19:35:46-04:00,45383.8165,5022,,EDT,2024,4,1,19,35,150,5519,5819,6119,D0
B,2024-04-01 19:50:22-04:00,45383.82664,4149,,EDT,2024,4,1,19,50,75,4333,4483,4633,D0
A,2024-04-01 19:50:47-04:00,45383.82693,5226,,EDT,2024,4,1,19,50,150,5519,5819,6119,D0
B,2024-04-01 20:05:23-04:00,45383.83707,4116,,EDT,2024,4,1,20,5,75,4333,4483,4633,D0
A,2024-04-01 20:05:48-04:00,45383.83736,5348,,EDT,2024,4,1,20,5,150,5519,5819,6119,D0
B,2024-04-01 20:20:24-04:00,45383.8475,4064,,EDT,2024,4,1,20,20,75,4333,4483,4633,D0
A,2024-04-01 20:20:49-04:00,45383.84779,5258,,EDT,2024,4,1,20,20,150,5519,5819,6119,D0
B,2024-04-01 20:35:25-04:00,45383.85793,4121,,EDT,2024,4,1,20,35,75,4333,4483,4633,D0
A,2024-04-01 20:35:50-04:00,45383.85822,5280,,EDT,2024,4,1,20,35,150,5519,5819,6119,D0
B,2024-04-01 20:50:26-04:00,45383.86836,4046,,EDT,2024,4,1,20,50,75,4333,4483,4633,D0
A,2024-04-01 20:50:51-04:00,45383.86865,5213,,EDT,2024,4,1,20,50,150,5519,5819,6119,D0
B,2024-04-01 21:05:27-04:00,45383.87878,4050,,EDT,2024,4,1,21,5,75,4333,4483,4633,D0
A,2024-04-01 21:05:52-04:00,45383.87907,5173,,EDT,2024,4,1,21,5,150,5519,5819,6119,D0
B,2024-04-01 21:20:28-04:00,45383.88921,4027,,EDT,2024,4,1,21,20,75,4333,4483,4633,D0
A,2024-04-01 21:20:53-04:00,45383.8895,5185,,EDT,2024,4,1,21,20,150,5519,5819,6119,D0
B,2024-04-01 21:35:29-04:00,45383.89964,4078,,EDT,2024,4,1,21,35,75,4333,4483,4633,D0
A,2024-04-01 21:35:54-04:00,45383.89993,4972,,EDT,2024,4,1,21,35,150,5519,5819,6119,D0
B,2024-04-01 21:50:30-04:00,45383.91007,3992,,EDT,2024,4,1,21,50,75,4333,4483,4633,D0
A,2024-04-01 21:50:55-04:00,45383.91036,5060,,EDT,2024,4,1,21,50,150,5519,5819,6119,D0
B,2024-04-01 22:05:31-04:00,45383.9205,4073,,EDT,2024,4,1,22,5,75,4333,4483,4633,D0
A,2024-04-01 22:05:56-04:00,45383.92079,4807,,EDT,2024,4,1,22,5,150,5519,5819,6119,D0
B,2024-04-01 22:20:32-04:00,45383.93093,4028,,EDT,2024,4,1,22,20,75,4333,4483,4633,D0
A,2024-04-01 22:20:57-04:00,45383.93122,4823,,EDT,2024,4,1,22,20,150,5519,5819,6119,D0
B,2024-04-01 22:35:33-04:00,45383.94135,4020,,EDT,2024,4,1,22,35,75,4333,4483,4633,D0
A,2024-04-01 22:35:58-04:00,45383.94164,4854,,EDT,2024,4,1,22,35,150,5519,5819,6119,D0
B,2024-04-01 22:50:34-04:00,45383.95178,3966,,EDT,2024,4,1,22,50,75,4333,4483,4633,D0
A,2024-04-01 22:50:59-04:00,45383.95207,4819,,EDT,2024,4,1,22,50,150,5519,5819,6119,D0
B,2024-04-01 23:05:35-04:00,45383.96221,3913,,EDT,2024,4,1,23,5,75,4333,4483,4633,D0
A,2024-04-01 23:06:00-04:00,45383.9625,4812,,EDT,2024,4,1,23,6,150,5519,5819,6119,D0
B,2024-04-01 23:20:36-04:00,45383.97264,3871,,EDT,2024,4,1,23,20,75,4333,4483,4633,D0
A,2024-04-01 23:21:01-04:00,45383.97293,4615,,EDT,2024,4,1,23,21,150,5519,5819,6119,D0
B,2024-04-01 23:35:37-04:00,45383.98307,3887,,EDT,2024,4,1,23,35,75,4333,4483,4633,D0
A,2024-04-01 23:36:02-04:00,45383.98336,4623,,EDT,2024,4,1,23,36,150,5519,5819,6119,D0
B,2024-04-01 23:50:38-04:00,45383.9935,3786,,EDT,2024,4,1,23,50,75,4333,4483,4633,D0
A,2024-04-01 23:51:03-04:00,45383.99378,4430,,EDT,2024,4,1,23,51,150,5519,5819,6119,D0
B,2024-04-02 00:05:39-04:00,45384.00392,3799,,EDT,2024,4,2,0,5,75,4333,4483,4633,D0
A,2024-04-02 00:06:04-04:00,45384.00421,4409,,EDT,2024,4,2,0,6,150,5519,5819,6119,D0
B,2024-04-02 00:20:40-04:00,45384.01435,3772,,EDT,2024,4,2,0,20,75,4333,4483,4633,D0
A,2024-04-02 00:21:05-04:00,45384.01464,4434,,EDT,2024,4,2,0,21,150,5519,5819,6119,D0
B,2024-04-02 00:35:41-04:00,45384.02478,3729,,EDT,2024,4,2,0,35,75,4333,4483,4633,D0
A,2024-04-02 00:36:06-04:00,45384.02507,4438,,EDT,2024,4,2,0,36,150,5519,5819,6119,D0
B,2024-04-02 00:50:42-04:00,45384.03521,3712,,EDT,2024,4,2,0,50,75,4333,4483,4633,D0
A,2024-04-02 00:51:07-04:00,45384.0355,4407,,EDT,2024,4,2,0,51,150,5519,5819,6119,D0
B,2024-04-02 01:05:43-04:00,45384.04564,3694,,EDT,2024,4,2,1,5,75,4333,4483,4633,D0
A,2024-04-02 01:06:08-04:00,45384.04593,4384,,EDT,2024,4,2,1,6,150,5519,5819,6119,D0
B,2024-04-02 01:20:44-04:00,45384.05606,3665,,EDT,2024,4,2,1,20,75,4333,4483,4633,D0
A,2024-04-02 01:21:09-04:00,45384.05635,4433,,EDT,2024,4,2,1,21,150,5519,5819,6119,D0
B,2024-04-02 01:35:45-04:00,45384.06649,3614,,EDT,2024,4,2,1,35,75,4333,4483,4633,D0
A,2024-04-02 01:36:10-04:00,45384.06678,4323,,EDT,2024,4,2,1,36,150,5519,5819,6119,D0
B,2024-04-02 01:50:46-04:00,45384.07692,3669,,EDT,2024,4,2,1,50,75,4333,4483,4633,D0
A,2024-04-02 01:51:11-04:00,45384.07721,4327,,EDT,2024,4,2,1,51,150,5519,5819,6119,D0
B,2024-04-02 02:05:47-04:00,45384.08735,3595,,EDT,2024,4,2,2,5,75,4333,4483,4633,D0
A,2024-04-02 02:06:12-04:00,45384.08764,4230,,EDT,2024,4,2,2,6,150,5519,5819,6119,D0
B,2024-04-02 02:20:48-04:00,45384.09778,3547,,EDT,2024,4,2,2,20,75,4333,4483,4633,D0
A,2024-04-02 02:21:13-04:00,45384.09807,4223,,EDT,2024,4,2,2,21,150,5519,5819,6119,D0
B,2024-04-02 02:35:49-04:00,45384.10821,3617,,EDT,2024,4,2,2,35,75,4333,4483,4633,D0
A,2024-04-02 02:36:14-04:00,45384.1085,4248,,EDT,2024,4,2,2,36,150,5519,5819,6119,D0
B,2024-04-02 02:50:50-04:00,45384.11863,3482,,EDT,2024,4,2,2,50,75,4333,4483,4633,D0
A,2024-04-02 02:51:15-04:00,45384.11892,4258,,EDT,2024,4,2,2,51,150,5519,5819,6119,D0
B,2024-04-02 03:05:51-04:00,45384.12906,3459,,EDT,2024,4,2,3,5,75,4333,4483,4633,D0
A,2024-04-02 03:06:16-04:00,45384.12935,4244,,EDT,2024,4,2,3,6,150,5519,5819,6119,D0
B,2024-04-02 03:20:52-04:00,45384.13949,3485,,EDT,2024,4,2,3,20,75,4333,4483,4633,D0
A,2024-04-02 03:21:17-04:00,45384.13978,4173,,EDT,2024,4,2,3,21,150,5519,5819,6119,D0
B,2024-04-02 03:35:53-04:00,45384.14992,3432,,EDT,2024,4,2,3,35,75,4333,4483,4633,D0
A,2024-04-02 03:36:18-04:00,45384.15021,4147,,EDT,2024,4,2,3,36,150,5519,5819,6119,D0
B,2024-04-02 03:50:54-04:00,45384.16035,3530,,EDT,2024,4,2,3,50,75,4333,4483,4633,D0
A,2024-04-02 03:51:19-04:00,45384.16064,4301,,EDT,2024,4,2,3,51,150,5519,5819,6119,D0
B,2024-04-02 04:05:55-04:00,45384.17078,3436,,EDT,2024,4,2,4,5,75,4333,4483,4633,D0
A,2024-04-02 04:06:20-04:00,45384.17106,4168,,EDT,2024,4,2,4,6,150,5519,5819,6119,D0
B,2024-04-02 04:20:56-04:00,45384.1812,3530,,EDT,2024,4,2,4,20,75,4333,4483,4633,D0
A,2024-04-02 04:21:21-04:00,45384.18149,4220,,EDT,2024,4,2,4,21,150,5519,5819,6119,D0
B,2024-04-02 04:35:57-04:00,45384.19163,3450,,EDT,2024,4,2,4,35,75,4333,4483,4633,D0
A,2024-04-02 04:36:22-04:00,45384.19192,4172,,EDT,2024,4,2,4,36,150,5519,5819,6119,D0
B,2024-04-02 04:50:58-04:00,45384.20206,3503,,EDT,2024,4,2,4,50,75,4333,4483,4633,D0
A,2024-04-02 04:51:23-04:00,45384.20235,4107,,EDT,2024,4,2,4,51,150,5519,5819,6119,D0
B,2024-04-02 05:05:59-04:00,45384.21249,3512,,EDT,2024,4,2,5,5,75,4333,4483,4633,D0
A,2024-04-02 05:06:24-04:00,45384.21278,4280,,EDT,2024,4,2,5,6,150,5519,5819,6119,D0
